未利用地登録年度,番号,所在（区）,町丁目,地番,街区番号,面積（㎡）,土地所管局,財産名称,現状,活用方針,分類基準,処分目途,貸付等の活用状況,備考,マップナビおおさかへのリンク,住居表示,緯度,経度,ジオコード精度
2006,743,西成区,旭３丁目,1‐11内外,1番,2699,こども青少年局,もと松之宮保育所,空地,事業予定地,基準９,,貸付可能,,http://www.mapnavi.city.osaka.lg.jp/osakacity/ApiDetail/LinkToMap?mid=70&mtl=70000&fldno=15&fid=332,大阪府大阪市西成区旭３丁目1番,34.644665,135.489868,街区番号
2006,744‐1,西成区,旭３丁目,3‐1外,2番,1178,都市整備局（住環境整備課）,旭住宅地区改良事業用地,空地,事業予定地,基準７,,貸付不可,,http://www.mapnavi.city.osaka.lg.jp/osakacity/ApiDetail/LinkToMap?mid=70&mtl=70000&fldno=15&fid=285,大阪府大阪市西成区旭３丁目2番,34.64476,135.489212,街区番号
2006,746,西成区,岸里東２丁目,5‐5,5番,719,環境局,もと西南事務所,駐車場,処分検討地,基準１,B,活用中,,http://www.mapnavi.city.osaka.lg.jp/osakacity/ApiDetail/LinkToMap?mid=70&mtl=70000&fldno=15&fid=317,大阪府大阪市西成区岸里東２丁目5番,34.629128,135.497177,街区番号
2006,749,西成区,北津守１丁目,10‐1,2番,574,都市整備局,もと津守東住宅,駐車場,処分検討地,基準１,A,活用中,,http://www.mapnavi.city.osaka.lg.jp/osakacity/ApiDetail/LinkToMap?mid=70&mtl=70000&fldno=15&fid=318,大阪府大阪市西成区北津守１丁目2番,34.655933,135.484924,街区番号
2006,764‐1,西成区,北津守３丁目,184‐3,11番,335,こども青少年局,もと津守西第２保育所,駐車場,処分検討地,基準２,B,活用中,,http://www.mapnavi.city.osaka.lg.jp/osakacity/ApiDetail/LinkToMap?mid=70&mtl=70000&fldno=15&fid=304,大阪府大阪市西成区北津守３丁目11番,34.650047,135.480408,街区番号
2006,761,西成区,北津守３丁目,27‐4外,1番,1921,環境局,もと公害工場跡地（岡田浮選剤化学）,空地,処分検討地,基準２,A,貸付不可,,http://www.mapnavi.city.osaka.lg.jp/osakacity/ApiDetail/LinkToMap?mid=70&mtl=70000&fldno=15&fid=335,大阪府大阪市西成区北津守３丁目1番,34.65197,135.484955,街区番号
2006,776,西成区,北津守４丁目,221内外,13番,1583,こども青少年局,もと津守西第２保育所,駐車場,処分検討地,基準２,B,活用中,,http://www.mapnavi.city.osaka.lg.jp/osakacity/ApiDetail/LinkToMap?mid=70&mtl=70000&fldno=15&fid=338,大阪府大阪市西成区北津守４丁目13番,34.649117,135.480423,街区番号
2006,770‐1,西成区,北津守４丁目,58‐1,1番,781,環境局,公害工場跡地（中外バルブ）,空地,処分検討地,基準２,A,貸付不可,,http://www.mapnavi.city.osaka.lg.jp/osakacity/ApiDetail/LinkToMap?mid=70&mtl=70000&fldno=15&fid=336,大阪府大阪市西成区北津守４丁目1番,34.649963,135.485046,街区番号
2006,770‐2,西成区,北津守４丁目,58‐11,1番,315,環境局,公害工場跡地（中外バルブ）,空地,処分検討地,基準２,A,貸付不可,,http://www.mapnavi.city.osaka.lg.jp/osakacity/ApiDetail/LinkToMap?mid=70&mtl=70000&fldno=15&fid=815,大阪府大阪市西成区北津守４丁目1番,34.649963,135.485046,街区番号
2006,771,西成区,北津守４丁目,94‐1,13番,3029,都市整備局（住環境整備課）,もと密集市街地整備事業用地,資材置場,処分検討地,基準２,A,活用中,,http://www.mapnavi.city.osaka.lg.jp/osakacity/ApiDetail/LinkToMap?mid=70&mtl=70000&fldno=15&fid=337,大阪府大阪市西成区北津守４丁目13番,34.649117,135.480423,街区番号
2006,781,西成区,北開１丁目,3‐10,3番,170,都市整備局（区画整理）,もと建築物移転先用地（元木津工区・西成区北開）,空地,処分検討地,基準１,A,貸付不可,,http://www.mapnavi.city.osaka.lg.jp/osakacity/ApiDetail/LinkToMap?mid=70&mtl=70000&fldno=15&fid=341,大阪府大阪市西成区北開１丁目3番,34.653088,135.490967,街区番号
